method,seed,dataset,tsne_used,tsne_time (s),tsne_params,umap_used,umap_time (s),umap_params,clustering_method,n_clusters,ari,silhouette,clustering_time (s)
Graph2Vec,42,ENZYMES,True,9.766037702560425,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,8.74826979637146,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,6,0.013673716368007833,0.03405344,0.01392054557800293
Graph2Vec,42,ENZYMES,True,9.766037702560425,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,8.74826979637146,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,6,0.01215145385472865,0.030948728,0.1604464054107666
Graph2Vec,42,MUTAG,True,1.375577449798584,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.33697032928466797,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,2,0.11607334802618115,0.14505668,0.0031480789184570312
Graph2Vec,42,MUTAG,True,1.375577449798584,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.33697032928466797,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,2,0.13348777759094238,0.29115075,0.02656412124633789
Graph2Vec,42,IMDB-MULTI,True,22.041151762008667,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,5.965983867645264,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,3,0.007779433830880978,0.17470129,0.013998031616210938
Graph2Vec,42,IMDB-MULTI,True,22.041151762008667,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,5.965983867645264,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,3,5.949398193505369e-05,0.020243527,0.29761290550231934
NetLSD,42,ENZYMES,True,7.852393627166748,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,1.3131639957427979,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,6,0.010641924829805504,0.42576668,0.01099085807800293
NetLSD,42,ENZYMES,True,7.852393627166748,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,1.3131639957427979,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,6,0.02557976390105115,0.2803817,0.09743118286132812
NetLSD,42,MUTAG,True,0.8935327529907227,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.33093762397766113,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,2,0.3258404808517252,0.57350546,0.0030317306518554688
NetLSD,42,MUTAG,True,0.8935327529907227,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.33093762397766113,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,2,0.267375357876457,0.57110614,0.03680109977722168
NetLSD,42,IMDB-MULTI,True,17.489015340805054,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,10.362378120422363,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,3,0.015675327556667538,0.5459767,0.013570547103881836
NetLSD,42,IMDB-MULTI,True,17.489015340805054,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,10.362378120422363,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,3,0.008522719399511507,0.2311768,0.3897421360015869
GIN,42,ENZYMES,True,8.71650767326355,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,1.3779187202453613,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,6,0.01040157143652227,0.16337758,0.0057489871978759766
GIN,42,ENZYMES,True,8.71650767326355,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,1.3779187202453613,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,6,0.020185592975658802,0.11565163,0.10302448272705078
GIN,42,MUTAG,True,1.191850185394287,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.3256676197052002,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,2,0.27805672373452506,0.30160668,0.0024013519287109375
GIN,42,MUTAG,True,1.191850185394287,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.3256676197052002,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,2,-0.03113518520218393,0.27792838,0.029292583465576172
GIN,42,IMDB-MULTI,True,17.667789936065674,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,8.767332792282104,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,3,0.0012223334802609006,0.86733055,0.009351730346679688
GIN,42,IMDB-MULTI,True,17.667789936065674,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,8.767332792282104,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,3,0.00030495326692057435,-0.10439262,1.072761058807373
Graph2Vec,43,ENZYMES,True,7.928875684738159,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,1.4399335384368896,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,6,0.018752508559969756,0.042058963,0.009394407272338867
